time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,beta,gamma,phase_switched
316,C1,0,44.117441860465114,22.35,21.767441860465112,21,17.5,0.3488372093023256,0.35,0
317,B2,0,25.50689655172414,1.0571428571428576,24.449753694581283,3,2.5,0.3103448275862069,0.1,1
317,C1,0,44.87906976744186,22.04,22.839069767441863,24,20,0.3953488372093023,0.4,0
318,C1,0,51.584782608695654,25.91,25.674782608695654,27,22.5,0.34782608695652173,0.45,0
319,B0,0,31.2,0.2,31.0,3,2.5,0.3,0.1,1
319,C1,0,54.0,31.346153846153847,22.653846153846153,30,25,0.3333333333333333,0.5,0
320,C1,0,52.54651162790698,30.259999999999998,22.286511627906982,33,27.5,0.37209302325581395,0.5,0
321,A1,0,15.133333333333333,15.133333333333333,0.0,3,2.5,0.5833333333333334,0.1,0
321,C1,0,57.83673469387755,27.615384615384613,30.22135007849294,36,30,0.40816326530612246,0.5,0
322,A1,2,17.11851851851852,15.896296296296295,1.222222222222225,6,5,0.5925925925925926,0.1,1
322,C1,0,58.5,25.86,32.64,39,32.5,0.42857142857142855,0.5,0
323,C1,0,57.244897959183675,23.4,33.844897959183676,42,35,0.4897959183673469,0.5,0
324,B1,2,91.26190476190476,19.40810810810811,71.85379665379665,3,1.5,0.3523809523809524,0.1,1
324,C1,0,61.480769230769226,24.0,37.480769230769226,45,37.5,0.4807692307692308,0.5,0
325,C1,0,66.63636363636364,25.5,41.13636363636364,48,40,0.45454545454545453,0.5,0
326,C1,0,65.24545454545455,27.3,37.94545454545455,51,42.5,0.509090909090909,0.5,0
327,C1,0,76.39655172413794,38.25,38.146551724137936,54,45,0.3620689655172414,0.5,0
328,C1,0,77.15517241379311,38.214285714285715,38.940886699507395,57,47.5,0.3793103448275862,0.5,0
329,C1,0,79.39655172413794,45.774193548387096,33.62235817575084,60,50,0.3620689655172414,0.5,0
330,C1,0,83.15,52.9,30.250000000000007,63,52.5,0.35,0.5,0
331,C1,0,83.10344827586206,55.57142857142857,27.532019704433495,66,55,0.3448275862068966,0.5,0
332,B2,2,22.1,14.100000000000001,8.0,3,2.5,0.3,0.1,1
332,C1,0,71.0,49.11764705882353,21.88235294117647,69,57.5,0.5,0.5,0
333,C1,0,78.92857142857143,49.11764705882353,29.8109243697479,72,60,0.4642857142857143,0.5,0
334,B0,2,23.770588235294117,11.340000000000002,12.430588235294115,3,2.5,0.5294117647058824,0.1,1
334,C1,0,81.88181818181818,56.385714285714286,25.49610389610389,75,62.5,0.41818181818181815,0.5,0
335,C1,0,83.38181818181818,56.44117647058823,26.940641711229944,78,65,0.41818181818181815,0.5,0
337,A1,0,36.60434782608695,17.39677419354839,19.207573632538562,3,2.5,0.43478260869565216,0.1,1
339,B1,2,74.16238532110091,73.52772277227722,0.6346625488236981,3,1.5,0.5596330275229358,0.1,0
340,B1,0,77.84761904761905,75.02857142857142,2.8190476190476232,6,3.0,0.5047619047619047,0.1,1
347,B2,0,9.585714285714285,2.7555555555555555,6.83015873015873,3,2.5,0.7142857142857143,0.1,1
349,B0,0,28.18888888888889,0.0,28.18888888888889,3,2.5,0.4444444444444444,0.1,1
350,C1,0,46.52413793103448,19.40810810810811,27.11602982292637,3,2.5,0.43103448275862066,0.1,0
351,C1,0,47.66896551724138,21.032432432432433,26.63653308480895,6,5,0.41379310344827586,0.1,0
352,A1,0,33.8,17.741176470588233,16.058823529411764,3,2.5,0.5,0.1,0
352,C1,0,49.22931034482759,23.052702702702703,26.176607642124885,9,7.5,0.39655172413793105,0.15,0
353,A1,0,32.34418604651163,14.9,17.444186046511632,6,5,0.4883720930232558,0.1,0
353,C1,0,53.72786885245902,24.1027027027027,29.625166149756318,12,10,0.3770491803278688,0.2,0
354,A1,0,35.82826086956522,30.826190476190476,5.002070393374744,9,7.5,0.4782608695652174,0.15,0
354,C1,0,50.81896551724138,28.35,22.46896551724138,15,12.5,0.41379310344827586,0.25,0
355,A1,0,27.304761904761904,24.5,2.8047619047619037,12,10,0.6190476190476191,0.2,0
355,B1,2,99.03333333333333,10.8,88.23333333333333,3,1.5,0.5111111111111111,0.1,1
355,C1,0,53.44918032786885,27.61951219512195,25.829668132746903,18,15,0.4426229508196721,0.3,0
356,A1,2,28.654761904761905,21.47972972972973,7.175032175032175,15,12.5,0.6190476190476191,0.25,1
356,C1,0,54.35,20.75,33.6,21,17.5,0.5,0.35,0
357,C1,0,62.16716417910448,27.64878048780488,34.518383691299604,24,20,0.44776119402985076,0.4,0
358,C1,0,64.71716417910449,30.198780487804882,34.518383691299604,27,22.5,0.44776119402985076,0.45,0
359,C1,0,69.66197183098592,30.071428571428573,39.59054325955735,30,25,0.4647887323943662,0.5,0
360,C1,0,66.65384615384616,40.5,26.15384615384616,33,27.5,0.46153846153846156,0.5,0
361,C1,0,63.984375,37.8,26.184375000000003,36,30,0.515625,0.5,0
362,B2,2,23.8,8.027272727272727,15.772727272727273,3,2.5,0.3,0.1,1
362,C1,0,64.21428571428571,42.329787234042556,21.884498480243153,39,32.5,0.5238095238095238,0.5,0
363,C1,0,59.40677966101695,40.869565217391305,18.537214443625643,42,35,0.576271186440678,0.5,0
364,B0,0,42.699999999999996,26.8,15.899999999999995,3,2.5,0.3,0.1,0
364,C1,0,65.71311475409836,45.23913043478261,20.473984319315747,45,37.5,0.5245901639344263,0.5,0
365,B0,0,33.57435897435898,25.475,8.099358974358978,6,5,0.358974358974359,0.1,0
365,C1,0,66.55555555555556,43.93617021276596,22.6193853427896,48,40,0.5555555555555556,0.5,0
