time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,phase_switched
369,B0,0,38.5,28.700000000000003,9.799999999999997,18,8.5,0
369,B2,0,106.6,77.19999999999999,29.400000000000006,234,110.5,0
370,B0,0,41.9,30.3,11.599999999999998,36,17,0
370,B2,0,108.3,81.8,26.5,252,119,0
371,B0,0,53.7,31.299999999999997,22.400000000000006,54,25.5,0
371,B2,0,114.4,88.4,26.0,270,127.5,0
371,C1,0,56.4,50.6,5.799999999999997,18,8.5,0
372,B0,0,62.099999999999994,37.9,24.199999999999996,72,34,0
372,B2,0,124.19999999999999,97.39999999999999,26.799999999999997,288,136,0
372,C1,0,58.8,54.2,4.599999999999994,36,17,0
373,B0,0,70.6,47.6,22.999999999999993,90,42.5,0
373,B2,0,129.3,102.69999999999999,26.600000000000023,306,144.5,0
373,C1,0,66.8,60.099999999999994,6.700000000000003,54,25.5,0
374,B0,0,80.0,50.2,29.799999999999997,108,51,0
374,B2,0,132.0,105.3,26.700000000000003,324,153,0
374,C1,0,79.2,64.0,15.200000000000003,72,34,0
375,A1,2,74.0,42.8,31.200000000000003,18,8.5,1
375,B0,0,83.3,51.7,31.599999999999994,126,59.5,0
375,B2,0,140.1,109.89999999999999,30.200000000000003,342,161.5,0
375,C1,0,83.3,70.3,13.0,90,42.5,0
376,B0,0,96.1,59.699999999999996,36.4,144,68,0
376,B2,0,144.2,114.2,29.999999999999986,360,170,0
376,C1,0,89.4,74.6,14.800000000000011,108,51,0
377,B0,0,96.1,65.6,30.5,162,76.5,0
377,B2,0,150.29999999999998,122.5,27.799999999999983,378,178.5,0
377,C1,0,90.1,81.5,8.599999999999994,126,59.5,0
378,B0,0,98.2,69.2,29.0,180,85,0
378,B1,2,51.2,0.0,51.2,26,13,1
378,B2,0,152.0,128.4,23.599999999999994,396,187,0
378,C1,0,90.5,84.1,6.400000000000006,144,68,0
379,B0,0,102.3,76.5,25.799999999999997,198,93.5,0
379,B2,0,155.1,132.7,22.400000000000006,414,195.5,0
379,C1,0,92.2,90.0,2.200000000000003,162,76.5,0
380,B0,0,102.6,80.4,22.19999999999999,216,102,0
380,B2,0,157.5,137.0,20.5,432,204,0
380,C1,2,97.7,95.7,2.0,180,85,1
381,B0,0,113.5,89.1,24.400000000000006,234,110.5,0
381,B2,0,159.9,139.9,20.0,450,212.5,0
382,B0,0,117.5,95.3,22.200000000000003,252,119,0
382,B2,0,161.6,143.8,17.799999999999983,468,221,0
383,B0,0,125.2,97.9,27.299999999999997,270,127.5,0
384,B0,0,120.6,104.5,16.099999999999994,288,136,0
385,B0,0,127.0,112.1,14.900000000000006,306,144.5,0
386,B0,0,133.7,117.0,16.69999999999999,324,153,0
387,B0,0,132.8,124.29999999999998,8.500000000000028,342,161.5,0
388,B0,0,141.9,133.6,8.300000000000011,360,170,0
389,B0,0,154.0,133.2,20.80000000000001,378,178.5,0
390,A1,0,63.3,40.5,22.799999999999997,18,8.5,1
390,B0,0,166.0,139.4,26.599999999999994,396,187,0
391,B0,0,157.7,147.3,10.399999999999977,414,195.5,0
392,B0,0,169.2,155.0,14.199999999999989,432,204,0
393,B0,0,168.9,160.9,8.0,450,212.5,0
393,B1,2,28.700000000000006,0.0,28.700000000000006,26,13,0
394,B0,0,187.0,166.2,20.80000000000001,468,221,0
394,B1,2,49.6,0.0,49.6,52,26,0
395,B1,2,61.300000000000004,0.0,61.300000000000004,78,39,0
395,C1,0,44.9,19.1,25.799999999999997,18,8.5,1
396,B1,2,73.50000000000001,0.0,73.50000000000001,104,52,0
